Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks
Acid Rain,Spell,"[Range 4]: Convert a tile to a Toxic Swamp, that adds 1 Poison to characters on it.",None,1,,,,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Acrid Potion,Spell,"[Range 2]: Target minion gains +1 Power, Fatal, and Lifelink.",Potion,2,,,,,Shadis,0.4.28,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Action Surge,Spell,"A friendly character gains +1 movement, and regains their Attack. Draw a card.",None,2,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Deploy
Alchemist,Minion,Arrival: Draw a Potion from your deck.,Human,2,1,3,2,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,
Ancient Golem,Minion,Costs 1 less mana to play for each card in your hand.,Mech,11,9,3,9,,Neutral,0.4.17,AI_GENERATED,DALL-E,False,0,,
Angelic Captain,Minion,Flying. Arrival AND at the beginning of your turn: ally minions within Range 4 gain +1 Movement this turn.,Angel,4,4,3,4,,Lucia,0.1.7,AI_GENERATED,Stable Diffusion,False,0,,
Angel's Grace,Spell,"[Range 4]: A character gains +4 movement this turn. If it's a minion, it gains Flying this turn.",None,1,,,,,Lucia,0.1.4,AI_GENERATED,Midjourney,False,0,,
Apothecary,Minion,"Realmbound. Whenever you play a Potion, draw a card.",Human,3,2,3,3,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,
Apprentice Mage,Minion,"Spellcaster. [Arrival, Pay 1 Mana]: Draw a card.",Elf,2,3,3,2,,Archaeon,0.4.38,AI_GENERATED,DALL-E,False,0,,
Archpaladin Erix,Minion,Legendary. Flying. Arrival: Set the power of ALL minions equal to their health.,Dwarf,6,2,2,7,True,Lucia,0.6.10,AI_GENERATED,ChatGPT Images,False,0,,
Asera,Minion,"Legendary. [1 Mana]: Draw a card, deal 2 damage to Asera.",Dragon,10,5,4,13,True,Neutral,0.2.10,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Assistant Chemist,Minion,Potions in your hand cost 1 less.,Dwarf,2,3,2,2,,Neutral,0.3.4,AI_GENERATED,Midjourney,False,0,,
"Atlas, First to Walk",Minion,Legendary. Trample. Haste. Atlas gains +1/+1/+1 when a tile is unclaimed. Arrival: Unclaim ALL tiles within Range 2.,Titan,15,10,0,10,True,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Baby Raptor,Minion,Has +2 Power and Speed if you control at least two other Beasts.,Beast,1,1,2,2,,Neutral,0.2.5,AI_GENERATED,Midjourney,False,0,,Starter Beasts
Badland Mercenary,Minion,"[Cooldown 2, Range 1]: Deal 1 damage to an ally minion and give it +2 Power.",Human,1,2,3,1,,Neutral,0.2.1,AI_GENERATED,Midjourney,False,0,,
Battlefield Savior,Minion,Arrival: add a Guiding Light to hand.,Human,3,3,3,4,,Lucia,0.1.4,AI_GENERATED,Midjourney,False,0,,
Battlefield Webspinner,Minion,"Deploy. [Arrival, Pay 1 Mana]: Stun an adjacent minion.",Arachnid,3,2,3,4,,Archaeon,0.4.38,AI_GENERATED,DALL-E,False,0,,
